,Price,Mileage,Age,Model_Camry,Model_Civic,Model_Corolla
474,18998,82528,7,0,1,0
475,19990,39108,8,0,0,1
476,20991,71096,5,0,1,0
477,19499,30847,6,0,0,1
478,30032,7881,1,1,0,0
479,27987,14944,2,0,1,0
480,34500,2092,1,0,0,0
481,16470,73058,8,1,0,0
482,28499,27721,3,0,0,0
483,14990,64955,9,0,0,1
484,22400,36734,2,0,0,1
485,28404,61668,2,1,0,0
486,26494,63535,2,1,0,0
487,20399,47484,3,0,0,1
488,21499,39199,3,0,1,0
489,26998,5988,0,0,0,1
490,27995,40618,4,0,0,0
491,20250,74876,3,0,0,1
492,24650,25663,2,1,0,0
493,11999,128158,8,1,0,0
494,19498,89839,4,1,0,0
495,21499,49524,6,0,0,0
496,18995,87288,5,1,0,0
497,16990,41961,11,0,0,0
498,26590,5210,1,0,0,1
499,26991,54149,3,0,0,0
500,25996,88057,4,0,0,0
501,23959,50779,4,1,0,0
502,24990,33583,5,0,0,0
503,18990,54751,6,0,0,1
504,19590,33714,7,0,1,0
505,21550,22960,2,0,1,0
506,18499,30645,2,0,1,0
507,18999,25406,5,0,0,1
508,24995,8630,3,0,1,0
509,20998,72650,5,1,0,0
510,30490,27942,3,0,0,0
511,10400,104401,12,0,0,1
512,28373,29413,1,1,0,0
513,22991,53224,3,0,1,0
514,15499,82783,10,1,0,0
515,16990,47426,10,0,0,0
516,19499,48646,3,0,0,1
517,23990,27998,5,0,1,0
518,30800,17773,1,0,0,0
519,22758,53560,3,1,0,0
520,24699,50597,3,1,0,0
521,22999,32473,4,0,1,0
522,36487,306,0,0,0,0
523,18717,53944,3,0,0,1
524,22327,45505,3,0,0,1
525,19287,53529,2,0,0,1
526,29799,12046,3,0,0,0
527,26496,65010,2,1,0,0
528,25895,18444,2,1,0,0
529,25499,16968,2,0,1,0
530,30999,20205,2,0,1,0
531,12995,139137,8,0,0,0
532,13499,123824,11,0,0,0
533,23932,78771,4,1,0,0
534,18995,74445,3,0,0,1
535,38991,18992,1,1,0,0
536,15999,57288,10,0,1,0
537,19995,7979,2,0,1,0
538,25074,5141,1,0,0,1
539,26672,8031,1,0,1,0
540,17590,57894,11,1,0,0
541,16990,45470,11,0,0,0
542,18499,52282,2,0,0,1
543,19499,52202,6,1,0,0
544,30364,13040,2,0,0,0
545,18999,32363,10,0,0,0
546,29989,19116,2,0,0,0
547,27667,45358,4,0,0,0
548,16990,15568,12,0,0,0
549,13899,138393,7,0,0,0
550,19527,65213,3,0,0,1
551,18999,68795,9,0,0,0
552,15990,40737,11,1,0,0
553,23991,76562,7,0,0,0
